Dataset,Model,Formal Rule Extractability,Constraint Coverage,Decision Traceability,Safety Guarantee,Deterministic Reproducibility,Audit Trail Completeness,Explanation Complexity,CVS
CSE-CIC-IDS-2018,ASRRL (Ours),1.0,1.0,1.0,1.0,1.0,1.0,0.8088095238095239,0.972687074829932
CSE-CIC-IDS-2018,Random Forest,0.0,0.0,0.3,0.0,1.0,0.3,0.4,0.2857142857142857
CSE-CIC-IDS-2018,XGBoost,0.0,0.0,0.3,0.0,1.0,0.3,0.1,0.24285714285714288
CSE-CIC-IDS-2018,LightGBM,0.0,0.0,0.3,0.0,1.0,0.3,0.1,0.24285714285714288
CSE-CIC-IDS-2018,SVM,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
CSE-CIC-IDS-2018,KNN,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
CSE-CIC-IDS-2018,Naive Bayes,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
CSE-CIC-IDS-2018,MLP,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
UNSW-NB15,ASRRL (Ours),1.0,1.0,1.0,1.0,1.0,1.0,0.7274791666666667,0.9610684523809524
UNSW-NB15,Random Forest,0.0,0.0,0.3,0.0,1.0,0.3,0.4,0.2857142857142857
UNSW-NB15,XGBoost,0.0,0.0,0.3,0.0,1.0,0.3,0.1,0.24285714285714288
UNSW-NB15,LightGBM,0.0,0.0,0.3,0.0,1.0,0.3,0.1,0.24285714285714288
UNSW-NB15,SVM,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
UNSW-NB15,KNN,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
UNSW-NB15,Naive Bayes,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
UNSW-NB15,MLP,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
CIC-IDS2017,ASRRL (Ours),1.0,1.0,1.0,1.0,1.0,1.0,0.67825,0.9540357142857143
CIC-IDS2017,Random Forest,0.0,0.0,0.3,0.0,1.0,0.3,0.4,0.2857142857142857
CIC-IDS2017,XGBoost,0.0,0.0,0.3,0.0,1.0,0.3,0.1,0.24285714285714288
CIC-IDS2017,LightGBM,0.0,0.0,0.3,0.0,1.0,0.3,0.1,0.24285714285714288
CIC-IDS2017,SVM,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
CIC-IDS2017,KNN,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
CIC-IDS2017,Naive Bayes,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
CIC-IDS2017,MLP,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
MISP Threat Intel,ASRRL (Ours),1.0,1.0,1.0,1.0,1.0,1.0,0.6677500000000001,0.9525357142857143
MISP Threat Intel,Random Forest,0.0,0.0,0.3,0.0,1.0,0.3,0.4,0.2857142857142857
MISP Threat Intel,XGBoost,0.0,0.0,0.3,0.0,1.0,0.3,0.1,0.24285714285714288
MISP Threat Intel,LightGBM,0.0,0.0,0.3,0.0,1.0,0.3,0.1,0.24285714285714288
MISP Threat Intel,SVM,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
MISP Threat Intel,KNN,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
MISP Threat Intel,Naive Bayes,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
MISP Threat Intel,MLP,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
